Phase,Category,Component,Specification,Price Low,Price High,Link,Notes
Phase 3,Integration,Adapter Plate + Flexplate,07K to 8HP Adapter + Flexplate — Chatham CNC custom (N63 path preferred),0,1397,https://www.chathamcnc.com/contact.html,"PREFERRED (N63 path): Chatham CNC custom 07K->N63 adapter + flexplate — mike@chathamcnc.com / 919-740-9748. No production adapter exists; custom quote required. Chatham has 07K engine-side geometry from @wingman703 Dodge 8HP build, reducing engineering scope. Price TBD — get quote at Phase 3. FALLBACK (N57 path): DomiWorks VW 1.8T/1.9T to BMW 8HP 45/50/70/75 N57 Adapter Kit (SKU 21015002) $1,397 (https://www.domi-works.com/products/vw-1-8t-1-8t-to-bmw-8hp-45-50-70-75-n47-n57-b57-b58-s58-adapter-kit). Verified $1,397 USD. Includes billet SS2541 flywheel/flexplate + center guide + hardware. 33mm aluminum adapter plate. Fits 8HP45/50/51/70/75/76 N57 pattern. REQUIRES starter 068911024H. Price Low = 0 (TBD Chatham). Price High = DomiWorks N57 fallback ceiling."
Phase 3,Integration,Starter,VW Longitudinal Starter 068911024GX (reman) / 068911024H (new),349.99,349.99,https://www.fcpeuro.com/products/volkswagen-starter-motor-passat-sr0423x,"Verified $349.99 + $50 refundable core (Bosch reman 068911024GX at FCP Euro). DomiWorks kit explicitly requires 068911024H (Bosch new) — same nose, fully interchangeable. 068911024GX reman has FCP Euro lifetime guarantee. NOT the BMW N54 starter from Phase 1."
Phase 3,Integration,Engine Mounts,Custom E36 07K Mount Arms — NBR rubber isolators 43–68A no hydraulic,400,600,https://www.race3.ca/,"⚠️ Race3 site shows E30 07K kit only (out of stock) — no confirmed E36-specific kit in any search result. Call before relying on as source. Custom fab is the likely path. Install: engine + trans drop as single pre-assembled unit (bellhousing mated, flexplate on, trans bolted before entering bay). Load leveler mandatory. Mock-up with temp tack-welded stub brackets while drivetrain suspended in final position; pull and finish-weld on bench. Isolator spec: NBR rubber sandwich pucks 43–68A durometer — NO hydraulic NO solid aluminum pucks. OEM E36 mounts are hydraulic (~55A per AKG) and cannot be reused regardless — 07K block geometry is incompatible with BMW mount bosses. Source rubber-to-metal bonded isolators from McMaster-Carr or Lord Corporation sized to bracket design at fab time. Ref durometer: MSW EEM 68A NBR race insert (moreheadspeedworks.com) is practical ceiling for dual-purpose build. ⚠️ LHD/RHD mirror: all directional references in 944 / Ur-Quattro / LS swap guides are reversed for this RHD car."
Phase 3,Integration,Throttle Body (STARTING SPEC),Stock 07K DBW Throttle Body — ~65mm bore — retain from longblock,0,0,,Included with 07K longblock. MaxxECU RACE controls natively via H-bridge outputs (3A continuous). 6-pin Bosch 0280 750 family — MaxxECU has pre-defined profile. Wire: Motor+ Motor- TPS1 TPS2 5V GND through engine harness. Calibrate via MTune e-throttle wizard. 65mm bore adequate to ~500 whp at 25 psi per Rennlist 07K community airflow calcs. Requires E46 e-pedal (see Phase 3). CONFIRM BBG manifold TB flange spec before ordering any upgraded TB.
Phase 3,Integration,Throttle Body (UPGRADE — 600+ whp),VW 3.6 VR6 DBW TB 03H 133 062 — ~74mm bore,40,80,https://www.ebay.com/sch/i.html?_nkw=03H+133+062,DBW — same 6-pin Bosch 0280 750 family connector as stock 07K TB. Native MaxxECU profile. ~74mm bore vs 65mm stock. Same VAG flange as 07K — direct fit candidate on BBG manifold. ~$40-80 used eBay. DO NOT swap until tune is dialed in on stock TB. Re-run MTune e-throttle wizard after swap (same procedure different PID starting values). Confirm BBG manifold flange O-ring compatibility before ordering.
Phase 3,Integration,Oil Pan,iABED / EFI Motorsport 07K Longitudinal Rear Sump Pan,2499,2499,https://shop.efi-motorsport.com/products/vw-audi-07k-5-cylinder-longitudinal-oil-pan,Verified - Gold standard. Budget alt: modified stock pan (TIG weld rear sump box)
Phase 3,Integration,Oil Filter Housing,iABED 07K Longitudinal Billet Oil Filter Housing (462-635-0047 w/ Thermostat),529,529,https://byiabed.com/07K--25-Longitudinal-Oil-Filter-Housing-Engine-Swap-Housing_p_64.html,"Required for longitudinal engine swap — OEM transverse housing will not clear E36 bay. iABED includes: M10x1.0 port (PST-F1 direct fit), 1/8 NPT secondary, M16x1.5 turbo oil feed port, built-in 90°C MOCAL thermostat. PST-F1 transfers from M52 VANOS banjo with zero wiring changes. NOTE: S-PAU housing is transverse-only — not suitable for E36 longitudinal swap."
Phase 3,Integration,Turbocharger,Garrett G-Series G30-770 REVERSE ROTATION,2731.2,2731.2,https://www.full-race.com/garrett-g-series-g30-770-reverse-rotation-turbo,"Verified $2731.20 (supercore $1883.91 + 0.83 A/R housing $847.29). Reverse rotation required to correctly orient compressor outlet when using SPA MK5 manifold in longitudinal installation \u2014 same approach confirmed by 944 community. V-band turbine inlet. T3-to-V-band adapter required (~$40, adds ~25-35mm stack height). HOOD CLEARANCE: verify before ordering \u2014 G30-770 is large-frame and E36 top-mount clearance is tight. If marginal: (a) vented/bubble hood, (b) step down to G25-660 RR (~$2000), (c) reverse rotation T3-inlet turbo from Precision Turbo (special order, eliminates adapter height). V-band connection is superior to T3 bolts \u2014 adapter is not a weakness, height is the only trade-off."
Phase 3,Integration,Wastegate,Tial 44mm MVR External Wastegate (V-band),435.15,435.15,https://www.speedcircuit.net/products/tial-44mm-external-v-band-wastegate-v44,Verified. V-band flanged. 44mm required for boost control above 500whp on E85. SPA MK5 manifold already has V-band 44/45mm WG provision — direct fit
Phase 3,Integration,T3 to V-Band Adapter,T3 Flange to V-Band Turbo Adapter,35,50,,Connects T3 manifold outlet to G30-770 V-band turbine inlet. Verify T3 bolt pattern and V-band diameter at purchase.
Phase 3,Integration,07K Engine Harness,MaxxECU Custom 07K Harness (build offline) + Deutsch AS / Souriau 8STA firewall bulkhead connector,550,900,,"Build using MaxxECU CMC connector ends with VW sensor connectors (crank VR, cam Hall, CLT NTC, TPS, injectors EV14). Same ECU — harness swap replaces M5x harness at engine change. No additional ECU cost. RECOMMENDED: terminate both M52 and 07K harnesses at a 47- or 79-way Deutsch Autosport (AS series) or Souriau 8STA flanged bulkhead connector on the firewall. Cabin side wired permanently; each engine harness plugs in as a single unit. Engine swap = one connector disconnect. Install bulkhead during Phase 1 chassis prep. Budget ~$80-120 receptacle + ~$60-90 per mating plug + contacts. See Enhancements doc [ELECTRICAL] section."
