Phase,Category,Component,Specification,Price Low,Price High,Link,Notes
Phase 0,Chassis - UK,328i Conv. Manual,RHD E36 Convertible - Driver Condition,6300,9500,https://www.autotrader.co.uk/cars/used/bmw/convertible/3-series/328i,Primary chassis target
Phase 0,Chassis - UK,323i Conv. Manual,RHD E36 Convertible - Driver Condition,4400,7600,https://www.pistonheads.com/buy/bmw/e36-3-series-91-99,Primary chassis target
Phase 0,Chassis - AU,328i Conv. Manual,RHD E36 Convertible - Driver Condition,6500,11700,https://www.gumtree.com.au/s-cars-vans-utes/bmw+e36/carmake-bmw/k0c18320,Primary chassis target - AUD 10000-18000
Phase 0,Chassis - AU,323i Conv. Manual,RHD E36 Convertible - Driver Condition,4600,7800,https://www.carsales.com.au/cars/bmw/3-series/e36-series/,Primary chassis target - AUD 7000-12000
Phase 0,Chassis - Import Cost,Shipping / Compliance / Duties,Full-service import via Open Air Imports or Garden State Imports,2500,5000,https://www.openairimports.com/,"Use a full-service importer (Open Air Imports, Garden State Imports) who handles sourcing, pre-ship inspection, ocean freight, US customs clearance, and port release as a bundled quoted cost. Eliminates guesswork on line items — get a firm quote before committing to a car. East Coast delivery via Baltimore (CSXT RoRo) or Newark. 25-year rule: all E36 convertibles are now fully exempt from EPA/DOT FMVSS compliance."
Phase 0,Chassis - Pre-Buy,Pre-Purchase Inspection (PPI),Included via full-service importer (Open Air / Garden State),0,0,,Full-service importers typically include or coordinate a pre-ship inspection as part of their service. Confirm with your importer. UK E36 convertibles are notorious for floor/sill rust under the convertible frame reinforcement plates — make sure inspection covers undercarriage and sill boxes.
Phase 0,Chassis - Pre-Buy,Hardtop,OEM BMW E36 Hardtop (sourced with car or separately),500,1500,https://www.ebay.com/sch/i.html?_nkw=BMW+E36+convertible+hardtop,PREFERRED configuration — prioritize sourcing a car that comes with an OEM hardtop. E36 hardtops are increasingly rare but do come with cars or can be sourced separately ($500-1500 eBay/FB Marketplace). Soft top only needed as a weather backup — condition is secondary concern if hardtop is present.
Phase 0,Chassis - Admin,Insurance,Specialty Modified Vehicle Policy (Hagerty / Grundy / American Collectors),600,1500,https://www.hagerty.com/,Standard auto insurance WILL NOT cover an RHD import with engine swaps. Hagerty or Grundy agreed-value specialty policies cover modified/collector cars. Annual premium varies by stated value and usage. Required before the car leaves the port.
Phase 0,Digital Dash,Instrument Cluster,Gauge.S E36 PNP Direct Replacement,247,247,https://shop.sorek.uk/products/gauge-s-bmw-e36-320i-323i-328i-m3-direct-replacement-instrument-cluster-pnp,"$247 verified (GBP 189). PNP replacement for OEM E36 cluster. Displays actual °C numbers for coolant temp (from OEM NTC sensor via existing harness — no new wiring), oil temp, oil pressure (from Bosch PST-F1 via analog inputs). Up to 7 analog 0-5V sensor inputs. Data logging to microSD; WiFi SD access from phone. G-force meter built in. Phase 3 upgrade: switch to MaxxECU CAN bus mode — Gauge.S reads processed data from MaxxECU directly, raw sensor wiring to cluster no longer needed. Install definition file matching ECU type: MS41.x for OBD2 E36, MaxxECU profile from Phase 1 onward. See wiki.sorek.uk before install."
Phase 0,Digital Dash,Additional Gauges,Gauge.S 52mm Pod,275,413,https://shop.sorek.uk/products/gauge-s-pod-52mm,(GBP 6.50)
Phase 0,Digital Dash,Oil Sensing,Bosch PST-F1 + M14x1.5 to M10x1.0 Adapter,192,192,https://shop.sorek.uk/products/bosch-pst-f-1-vanos-banjo-m14x1-5-to-m10x1-0-sensor-adapter-m50-m52-m54,"$65 (~GBP 49). Dual oil temp + oil pressure sensor in one unit. Installs at M52/M54 VANOS banjo bolt (M14x1.5). Adapter steps down to M10x1.0 sensor thread. Signal wires route to Gauge.S analog inputs (0-5V). Displays actual oil temp °C and oil pressure bar/psi. At 07K swap: relocate to equivalent oil gallery port on 07K block — same sensor, new mounting location. MaxxECU can also read PST-F1 inputs directly for data logging."
