Phase,Category,Component,Specification,Price Low,Price High,Link,Notes
Phase 1A,Turbo M50 Build,Turbo Manifold,K64 AC+ RHD Turbo Manifold (M50/M52/M54),839.72,839.72,https://k64performance.com/exhaust-manifold/1655-rhd-uk-e36-e46-ac-turbo-kolektor-bmw-m50-m52-m54.html,Verified - Retains AC compressor
Phase 1A,Turbo M50 Build,Downpipe,K64 RHD E36 Downpipe,448,448,https://k64performance.com/exhaust-manifold/4635-downpipe-rhd-uk-turbo-bmw-e36-e46.html,Verified - RHD specific
Phase 1A,Turbo M50 Build,Connecting Rods (Budget),Maxpeeding H-Beam Forged Rods 135mm ARP2000,350,550,https://www.maxpeedingrods.com/product/connecting-rods-for-bmw-m50-b25-tu-m50-b25-m52-b28-m52-b25-25l-28l-135mm-arp-2000-bolts.html,
Phase 1A,Turbo M50 Build,Connecting Rods (Premium),FCP Engineering X-Beam Forged Rods,930,930,https://www.ebay.com/itm/123936285625,Verified
Phase 1A,Turbo M50 Build,Oil Pump,VAC Motorsports M50/M52/S50/S52 Oil Pump Upgrade Kit,224.95,224.95,https://store.vacmotorsports.com/vac-motorsports-oil-pump-upgrade-kit-bmw-m50m52s50s52-p1041.aspx,Verified
Phase 1A,Turbo M50 Build,Harmonic Damper,VAC ATI Super Damper (M50/M52/S50/S52/M52TU/M54),1049.95,1049.95,https://store.vacmotorsports.com/vac-motorsports-harmonic-damper-by-ati-bmw-m50m52s50s52m52tum54-p756.aspx,Verified - Critical for vibration control above 7500 RPM
Phase 1A,Turbo M50 Build,Head Gasket,Athena Cut-Ring Head Gasket (M50/M52/S50/S52),149,149,https://5150autosport.com/products/athena-cut-ring-head-gasket-bmw-m50-m52-s50-s52,Verified
Phase 1A,Turbo M50 Build,Head Studs,ARP 2000 Head Stud Kit (M50/S50/M52/S52),236.74,236.74,https://store.vacmotorsports.com/arp-head-stud-kit-bmw-m50s50m52s52-p1.aspx,Verified
Phase 1A,Turbo M50 Build,Front Mount Intercooler,CXRacing E36 FMIC Kit (KIT-BMW-E36-IC0029-25),610,610,https://www.cxracing.com/KIT-BMW-E36-IC0029-25,Verified $610. Full kit: 27x11.75x3 bar-and-plate intercooler core + aluminum piping + silicon hoses + T-clamps + BOV + mounting brackets. Designed for E36 top-mount T3 turbo (M5x application). FMIC core carries to 07K phase \u2014 piping routing will need modification to suit 07K/G30-770 RR turbo position.
Phase 1A,Fuel System,Injector Upgrade,Siemens Deka 630cc EV1 - Set of 6 (replaces Phase 1 440cc),325,325,https://www.southbayfuelinjectors.com/60lb-630cc-bmw-siemen-deka-ev1-fuel-injectors-set-of-6.html,"Verified $325. Replaces Phase 1 Bosch 440cc set — 440cc insufficient for 450-600hp on E85. Siemens Deka 630cc EV1: same plug connector as OEM BMW M50/M52 injector body — fits stock fuel rail. High-impedance (12.5 Ohm), MaxxECU does not require driver modification. Phase 1 440cc injectors can be resold (~$150-200) or kept as spare. Price here is the new set only — do not add to Phase 1 injector cost."
Phase 1A,Fuel System,Boost Control Solenoid,Turbosmart 2-Port Boost Control Solenoid (PWM),65,80,https://www.turbosmart.com/product-category/boost-controllers/solenoids/,"Required for boost control with MaxxECU. MaxxECU drives boost solenoid via a GPO (general purpose output) using PWM duty cycle. Budget alt: Bosch N75 2-port solenoid ~$40 (PN 0280142431, 3-bar range). Both work — Turbosmart is the cleaner option with labeled AN fittings. Same solenoid carries to 07K phase."
Phase 1A,Notes,Power Goal,450 - 600 HP,,,Requires iron block M50B25TU - only pursue if suitable car found
Phase 1A,Notes,Block Required,Iron Block M50B25TU,,,Do not hold out - only if right car available at good price
